Q12396	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
P02652	P02652	Homo sapiens	Metazoa	100	18.0	
Q8LD43	Q8LD43	Arabidopsis thaliana	Plants	62	22.0	
O14791	O14791	Homo sapiens	Metazoa	398	27.0	
P01131	P01131	Bos taurus	Metazoa	845	21.0	
P08236	P08236	Homo sapiens	Metazoa	651	22.0	
F2QXM5	F2QXM5	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	Fungi	587	19.0	
P61312	P61312	Rattus norvegicus	Metazoa	146	25.0	
P26842	P26842	Homo sapiens	Metazoa	260	19.0	
U6BLZ9	U6BLZ9	Penicillium canescens	Fungi	463	26.0	
P01068	P01068	Ananas comosus	Plants	246	19.0	
Q95JC9	Q95JC9	Sus scrofa	Metazoa	676	16.0	
Q96HE7	Q96HE7	Homo sapiens	Metazoa	468	23.0	
P13671	P13671	Homo sapiens	Metazoa	934	21.0	
D4A540	D4A540	Rattus norvegicus	Metazoa	148	31.0	
Q6UWI4	Q6UWI4	Homo sapiens	Metazoa	295	33.0	
Q8S2W4	Q8S2W4	Arabidopsis thaliana	Plants	61	22.0	
P17813	P17813	Homo sapiens	Metazoa	658	25.0	
Q9UIK5	Q9UIK5	Homo sapiens	Metazoa	374	40.0	
P49921	P49921	Sus scrofa	Metazoa	91	23.0	
O75629	O75629	Homo sapiens	Metazoa	220	31.0	
P28770	P28770	Oncorhynchus mykiss	Metazoa	221	21.0	
Q4V4I9	Q4V4I9	Drosophila melanogaster	Metazoa	182	22.0	
Q9MYV1	Q9MYV1	Canis lupus familiaris	Metazoa	128	25.0	
P26006	P26006	Homo sapiens	Metazoa	1051	32.0	
Q968Z6	Q968Z6	Dictyostelium discoideum	Other	557	19.0	
Q8MUP7	Q8MUP7	Ixodes scapularis	Metazoa	102	21.0	
P01721	P01721	Homo sapiens	Metazoa	117	19.0	
P10562	P10562	Canavalia gladiata	Plants	445	26.0	
A0A482A9N4	A0A482A9N4	Talaromyces verruculosus	Fungi	328	21.0	
Q5G8A6	Q5G8A6	Tityus costatus	Metazoa	87	19.0	
P16159	P16159	Triticum aestivum	Plants	143	24.0	
Q00193	Q00193	Oryctolagus cuniculus	Metazoa	540	24.0	
Q86YD3	Q86YD3	Homo sapiens	Metazoa	366	26.0	
P01364	P01364	Aplysia californica	Metazoa	108	23.0	
Q06703	Q06703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	312	44.0	
P23631	P23631	Latrodectus tredecimguttatus	Metazoa	1401	20.0	
P13611	P13611	Homo sapiens	Metazoa	3396	20.0	
K9N4Q4	K9N4Q4	Phlebotomus papatasi	Metazoa	246	23.0	
Q20224	Q20224	Caenorhabditis elegans	Metazoa	161	19.0	
Q6UX46	Q6UX46	Homo sapiens	Metazoa	152	24.0	
Q13433	Q13433	Homo sapiens	Metazoa	755	28.0	
Q39649	Q39649	Cucurbita maxima	Plants	141	22.0	
P0DMD3	P0DMD3	Scolopendra mutilans	Metazoa	105	21.0	
Q6UX41	Q6UX41	Homo sapiens	Metazoa	500	17.0	
P17164	P17164	Rattus norvegicus	Metazoa	462	28.0	
O35701	O35701	Mus musculus	Metazoa	481	27.0	
P49767	P49767	Homo sapiens	Metazoa	419	31.0	
P81054	P81054	Grifola frondosa	Fungi	348	18.0	
Q9Y2I2	Q9Y2I2	Homo sapiens	Metazoa	539	28.0	
Q9GL30	Q9GL30	Bos taurus	Metazoa	545	35.0	
P00724	P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19.0	
Q86Y34	Q86Y34	Homo sapiens	Metazoa	549	20.0	
Q7YZS9	Q7YZS9	Conus virgo	Metazoa	67	26.0	
G4V4F9	G4V4F9	Cupiennius salei	Metazoa	97	19.0	
Q9VG55	Q9VG55	Drosophila melanogaster	Metazoa	191	24.0	
Q9H293	Q9H293	Homo sapiens	Metazoa	177	32.0	
Q9LLT1	Q9LLT1	Juniperus virginiana	Plants	367	21.0	
Q56S59	Q56S59	Nicotiana tabacum	Plants	150	23.0	
Q9UBN6	Q9UBN6	Homo sapiens	Metazoa	386	55.0	
P02462	P02462	Homo sapiens	Metazoa	1669	27.0	
P00992	P00992	Vipera ammodytes ammodytes	Metazoa	93	24.0	
P36980	P36980	Homo sapiens	Metazoa	270	18.0	
Q9GQV7	Q9GQV7	Aedes aegypti	Metazoa	128	22.0	
P0DUS5	P0DUS5	Doratifera vulnerans	Metazoa	57	24.0	
Q8H8C7	Q8H8C7	Oryza sativa subsp. japonica	Plants	356	28.0	
A8CL69	A8CL69	Apis mellifera	Metazoa	195	33.0	
Q40975	Q40975	Papaver rhoeas	Plants	139	19.0	
P80961	P80961	Myoxocephalus octodecemspinosus	Metazoa	128	20.0	
P0DPV1	P0DPV1	Scolopendra dehaani	Metazoa	97	23.0	
Q8X150	Q8X150	Gaeumannomyces tritici	Fungi	618	16.0	
P85197	P85197	Lonomia obliqua	Metazoa	180	16.0	
P28335	P28335	Homo sapiens	Metazoa	458	32.0	
Q62867	Q62867	Rattus norvegicus	Metazoa	317	24.0	
Q09117	Q09117	Populus deltoides	Plants	312	24.0	
Q86T13	Q86T13	Homo sapiens	Metazoa	490	21.0	
A0A2I6QB00	A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18.0	
P00719	P00719	Struthio camelus	Metazoa	204	19.0	
Q9Z0M9	Q9Z0M9	Mus musculus	Metazoa	193	28.0	
P06727	P06727	Homo sapiens	Metazoa	396	20.0	
Q6E0U4	Q6E0U4	Homo sapiens	Metazoa	476	21.0	
Q86Y78	Q86Y78	Homo sapiens	Metazoa	171	22.0	
Q8TAL6	Q8TAL6	Homo sapiens	Metazoa	211	18.0	
Q6UX52	Q6UX52	Homo sapiens	Metazoa	265	20.0	
P52706	P52706	Prunus serotina	Plants	563	27.0	
Q03472	Q03472	Sus scrofa	Metazoa	202	28.0	
Q8WUJ3	Q8WUJ3	Homo sapiens	Metazoa	1361	30.0	
Q9UAH3	Q9UAH3	Pinctada fucata	Metazoa	129	23.0	
Q09332	Q09332	Drosophila melanogaster	Metazoa	1548	22.0	
P09479	P09479	Gallus gallus	Metazoa	456	20.0	
P35859	P35859	Rattus norvegicus	Metazoa	603	23.0	
P01226	P01226	Equus caballus	Metazoa	129	18.0	
Q9NS68	Q9NS68	Homo sapiens	Metazoa	423	29.0	
O62605	O62605	Galleria mellonella	Metazoa	218	16.0	
O00206	O00206	Homo sapiens	Metazoa	839	23.0	
P12729	P12729	Dictyostelium discoideum	Other	168	19.0	
P02808	P02808	Homo sapiens	Metazoa	62	19.0	
Q9NSA1	Q9NSA1	Homo sapiens	Metazoa	209	28.0	
P30986	P30986	Eschscholzia californica	Plants	538	23.0	
Q26994	Q26994	Toxoplasma gondii	Other	179	17.0	
P03971	P03971	Homo sapiens	Metazoa	560	24.0	
P10820	P10820	Mus musculus	Metazoa	554	20.0	
Q8W257	Q8W257	Ptilota filicina	Other	500	21.0	
Q96S96	Q96S96	Homo sapiens	Metazoa	227	22.0	
Q90ZY0	Q90ZY0	Pseudopleuronectes americanus	Metazoa	68	22.0	
Q09098	Q09098	Mus musculus	Metazoa	99	23.0	
P60153	P60153	Homo sapiens	Metazoa	205	26.0	
Q13231	Q13231	Homo sapiens	Metazoa	466	21.0	
Q86WA6	Q86WA6	Homo sapiens	Metazoa	291	37.0	
Q5EPH2	Q5EPH2	Rhipicephalus bursa	Metazoa	97	22.0	
P25404	P25404	Mirabilis jalapa	Plants	63	27.0	
Q92563	Q92563	Homo sapiens	Metazoa	424	22.0	
P02466	P02466	Rattus norvegicus	Metazoa	1372	22.0	
P20013	P20013	Trametes versicolor	Fungi	372	26.0	
K9L4P7	K9L4P7	Penicillium chrysogenum	Fungi	604	18.0	
Q9JMI7	Q9JMI7	Mus musculus	Metazoa	250	25.0	
P83313	P83313	Opistophthalmus carinatus	Metazoa	82	22.0	
I1SB12	I1SB12	Microdochium nivale	Fungi	495	22.0	
O60844	O60844	Homo sapiens	Metazoa	167	16.0	
P38660	P38660	Mesocricetus auratus	Metazoa	439	19.0	
Q64385	Q64385	Mus musculus	Metazoa	432	23.0	
O43866	O43866	Homo sapiens	Metazoa	347	19.0	
P33487	P33487	Arabidopsis thaliana	Plants	198	33.0	
P0C8G7	P0C8G7	Pomacea canaliculata	Metazoa	286	30.0	
B9A8D7	B9A8D7	Crassostrea virginica	Metazoa	85	18.0	
Q3C258	Q3C258	Actinia equina	Metazoa	70	20.0	
O97939	O97939	Sus scrofa	Metazoa	1142	38.0	
Q9NZV1	Q9NZV1	Homo sapiens	Metazoa	1036	34.0	
P28039	P28039	Homo sapiens	Metazoa	575	23.0	
Q9BXJ7	Q9BXJ7	Homo sapiens	Metazoa	453	19.0	
A0A1W6EVN2	A0A1W6EVN2	Ampulex compressa	Metazoa	50	26.0	
P35578	P35578	Zootoca vivipara	Metazoa	172	21.0	
Q2PS07	Q2PS07	Fagopyrum esculentum	Plants	149	22.0	
P32358	P32358	Bombyx mori	Metazoa	579	15.0	
P13917	P13917	Glycine max	Plants	427	24.0	
Q27309	Q27309	Bombyx mori	Metazoa	1782	15.0	
P25291	P25291	Canis lupus familiaris	Metazoa	509	21.0	
Q9D6Y1	Q9D6Y1	Mus musculus	Metazoa	273	21.0	
Q9ERQ6	Q9ERQ6	Rattus norvegicus	Metazoa	571	30.0	
Q9Y2E5	Q9Y2E5	Homo sapiens	Metazoa	1009	23.0	
Q14002	Q14002	Homo sapiens	Metazoa	265	35.0	
Q6UW88	Q6UW88	Homo sapiens	Metazoa	154	22.0	
P54660	P54660	Dictyostelium discoideum	Other	143	22.0	
P18709	P18709	Xenopus laevis	Metazoa	1807	15.0	
Q8JFY4	Q8JFY4	Anguilla japonica	Metazoa	111	26.0	
Q27270	Q27270	Tenebrio molitor	Metazoa	96	18.0	
Q8I948	Q8I948	Acanthoscurria gomesiana	Metazoa	156	23.0	
Q8MMH0	Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21.0	
Q86IV5	Q86IV5	Dictyostelium discoideum	Other	258	21.0	
P14217	P14217	Chlamydomonas reinhardtii	Plants	647	21.0	
P01168	P01168	Sus scrofa	Metazoa	116	24.0	
P07712	P07712	Aplysia californica	Metazoa	112	23.0	
P13598	P13598	Homo sapiens	Metazoa	275	24.0	
P19427	P19427	Bos taurus	Metazoa	201	18.0	
P07457	P07457	Zoarces americanus	Metazoa	87	22.0	
P55083	P55083	Homo sapiens	Metazoa	255	21.0	
Q6IV20	Q6IV20	Gallus gallus	Metazoa	104	22.0	
D3GDK4	D3GDK4	Cryptopygus antarcticus	Metazoa	225	15.0	
P00533	P00533	Homo sapiens	Metazoa	1210	24.0	
P02783	P02783	Rattus norvegicus	Metazoa	112	21.0	
A0A3N2PQC3	A0A3N2PQC3	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Fungi	99	26.0	
P01830	P01830	Rattus norvegicus	Metazoa	161	19.0	
Q09022	Q09022	Xenopus laevis	Metazoa	84	18.0	
A1XCI9	A1XCI9	Fusarium culmorum	Fungi	191	18.0	
Q9BX59	Q9BX59	Homo sapiens	Metazoa	468	18.0	
P14630	P14630	Rattus norvegicus	Metazoa	190	17.0	
P15242	P15242	Rattus norvegicus	Metazoa	333	17.0	
P23142	P23142	Homo sapiens	Metazoa	703	29.0	
P31358	P31358	Homo sapiens	Metazoa	61	24.0	
P23389	P23389	Bos taurus	Metazoa	646	20.0	
P80370	P80370	Homo sapiens	Metazoa	383	23.0	
Q6UXH1	Q6UXH1	Homo sapiens	Metazoa	353	24.0	
P81605	P81605	Homo sapiens	Metazoa	110	19.0	
F1RRV3	F1RRV3	Sus scrofa	Metazoa	2692	19.0	
Q96HF1	Q96HF1	Homo sapiens	Metazoa	295	24.0	
F1NSM7	F1NSM7	Gallus gallus	Metazoa	743	18.0	
I2C090	I2C090	Ophiophagus hannah	Metazoa	1641	22.0	
P86407	P86407	Mesobuthus eupeus	Metazoa	75	22.0	
P13686	P13686	Homo sapiens	Metazoa	325	21.0	
P12872	P12872	Homo sapiens	Metazoa	115	25.0	
P30121	P30121	Rattus norvegicus	Metazoa	220	26.0	
Q8VCS0	Q8VCS0	Mus musculus	Metazoa	530	22.0	
O43852	O43852	Homo sapiens	Metazoa	315	19.0	
O62680	O62680	Sus scrofa	Metazoa	123	25.0	
P67861	P67861	Daboia russelii	Metazoa	144	24.0	
Q01460	Q01460	Rattus norvegicus	Metazoa	367	23.0	
P42292	P42292	Gallus gallus	Metazoa	588	33.0	
Q9TY95	Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22.0	
P18650	P18650	Sus scrofa	Metazoa	317	18.0	
Q13478	Q13478	Homo sapiens	Metazoa	541	18.0	
P01350	P01350	Homo sapiens	Metazoa	101	21.0	
P42264	P42264	Rattus norvegicus	Metazoa	919	31.0	
Q52085	Q52085	Heterostelium pallidum	Other	320	19.0	
Q556R7	Q556R7	Dictyostelium discoideum	Other	303	24.0	
Q9BZR6	Q9BZR6	Homo sapiens	Metazoa	473	26.0	
Q6UXL0	Q6UXL0	Homo sapiens	Metazoa	311	29.0	
P08796	P08796	Dictyostelium discoideum	Other	514	19.0	
P50448	P50448	Bos taurus	Metazoa	468	23.0	
Q92154	Q92154	Coturnix japonica	Metazoa	620	17.0	
Q7Q7R8	Q7Q7R8	Anopheles gambiae	Metazoa	89	29.0	
Q96IQ7	Q96IQ7	Homo sapiens	Metazoa	327	23.0	
Q99ML8	Q99ML8	Mus musculus	Metazoa	113	23.0	
P23438	P23438	Canis lupus familiaris	Metazoa	183	17.0	
Q653V7	Q653V7	Oryza sativa subsp. japonica	Plants	885	33.0	
P0DUS8	P0DUS8	Doratifera vulnerans	Metazoa	59	17.0	
P01500	P01500	Apis mellifera	Metazoa	46	27.0	
P22301	P22301	Homo sapiens	Metazoa	178	18.0	
P45561	P45561	Sus scrofa	Metazoa	189	16.0	
O18330	O18330	Apis mellifera	Metazoa	432	19.0	
Q5XM24	Q5XM24	Dictyostelium discoideum	Other	494	18.0	
Q6UXK5	Q6UXK5	Homo sapiens	Metazoa	716	25.0	
Q99435	Q99435	Homo sapiens	Metazoa	816	21.0	
Q17128	Q17128	Blaberus discoidalis	Metazoa	72	21.0	
Q9UBT3	Q9UBT3	Homo sapiens	Metazoa	224	18.0	
A1X159	A1X159	Perna viridis	Metazoa	431	20.0	
P51654	P51654	Homo sapiens	Metazoa	580	24.0	
Q76BW5	Q76BW5	Oryza sativa subsp. japonica	Plants	290	25.0	
P22748	P22748	Homo sapiens	Metazoa	312	18.0	
P0C8G6	P0C8G6	Pomacea canaliculata	Metazoa	565	26.0	
Q6QD51	Q6QD51	Rattus norvegicus	Metazoa	949	27.0	
O46654	O46654	Sorex araneus	Metazoa	147	20.0	
Q27908	Q27908	Pinctada fucata	Metazoa	447	17.0	
Q92643	Q92643	Homo sapiens	Metazoa	395	27.0	
P01139	P01139	Mus musculus	Metazoa	241	18.0	
P06912	P06912	Oryctolagus cuniculus	Metazoa	201	18.0	
P43077	P43077	Candida albicans	Fungi	562	22.0	
P06028	P06028	Homo sapiens	Metazoa	91	19.0	
P08887	P08887	Homo sapiens	Metazoa	468	19.0	
Q17058	Q17058	Apis mellifera	Metazoa	567	17.0	
Q0P569	Q0P569	Bos taurus	Metazoa	474	24.0	
P04217	P04217	Homo sapiens	Metazoa	495	21.0	
P15289	P15289	Homo sapiens	Metazoa	507	18.0	
P23577	P23577	Chlamydomonas reinhardtii	Plants	317	31.0	
P27919	P27919	Avena sativa	Plants	214	28.0	
O76192	O76192	Galleria mellonella	Metazoa	167	17.0	
P29459	P29459	Homo sapiens	Metazoa	219	22.0	
P18428	P18428	Homo sapiens	Metazoa	481	25.0	
Q6UXB2	Q6UXB2	Homo sapiens	Metazoa	119	21.0	
P14384	P14384	Homo sapiens	Metazoa	443	17.0	
Q8MI01	Q8MI01	Bos taurus	Metazoa	330	23.0	
P81058	P81058	Penaeus vannamei	Metazoa	82	19.0	
Q0ZS88	Q0ZS88	Phlebotomus perniciosus	Metazoa	388	18.0	
Q8WQK0	Q8WQK0	Cotesia rubecula	Metazoa	65	23.0	
P0DPU8	P0DPU8	Scolopendra dehaani	Metazoa	105	24.0	
P02230	P02230	Chironomus thummi thummi	Metazoa	151	15.0	
P58912	P58912	Phyllodiscus semoni	Metazoa	488	21.0	
P43307	P43307	Homo sapiens	Metazoa	286	18.0	
Q13162	Q13162	Homo sapiens	Metazoa	271	37.0	
Q9BQ51	Q9BQ51	Homo sapiens	Metazoa	273	19.0	
Q9C9H5	Q9C9H5	Arabidopsis thaliana	Plants	484	21.0	
P48819	P48819	Sus scrofa	Metazoa	459	19.0	
P02727	P02727	Canis lupus familiaris	Metazoa	129	17.0	
P02810	P02810	Homo sapiens	Metazoa	166	16.0	
P26203	P26203	Oryctolagus cuniculus	Metazoa	137	20.0	
Q76FB0	Q76FB0	Cyanidium caldarium	Other	155	20.0	
Q02862	Q02862	Mus musculus	Metazoa	184	15.0	
Q9UBP4	Q9UBP4	Homo sapiens	Metazoa	350	21.0	
Q08481	Q08481	Mus musculus	Metazoa	727	17.0	
Q9NPF0	Q9NPF0	Homo sapiens	Metazoa	282	35.0	
P86929	P86929	Metaphire guillelmi	Metazoa	73	14.0	
P80513	P80513	Bos taurus	Metazoa	179	21.0	
P80964	P80964	Sus scrofa	Metazoa	130	25.0	
P0DUT6	P0DUT6	Doratifera vulnerans	Metazoa	66	20.0	
Q8N766	Q8N766	Homo sapiens	Metazoa	993	22.0	
Q28989	Q28989	Sus scrofa	Metazoa	421	26.0	
Q76CE8	Q76CE8	Typhula ishikariensis	Fungi	243	20.0	
Q01528	Q01528	Limulus polyphemus	Metazoa	172	19.0	
Q01129	Q01129	Rattus norvegicus	Metazoa	354	16.0	
Q8L9T8	Q8L9T8	Arabidopsis thaliana	Plants	63	27.0	
Q76CA2	Q76CA2	Monoplex parthenopeus	Metazoa	275	23.0	
Q96PL1	Q96PL1	Homo sapiens	Metazoa	93	21.0	
Q9NPA0	Q9NPA0	Homo sapiens	Metazoa	242	23.0	
Q868Z9	Q868Z9	Drosophila melanogaster	Metazoa	2898	26.0	
Q9NBW4	Q9NBW4	Theromyzon tessulatum	Metazoa	101	19.0	
Q8NBL1	Q8NBL1	Homo sapiens	Metazoa	392	23.0	
P49259	P49259	Bos taurus	Metazoa	1463	20.0	
C0HKG0	C0HKG0	Clitoria ternatea	Plants	117	25.0	
O75462	O75462	Homo sapiens	Metazoa	422	37.0	
Q90W22	Q90W22	Aquarana catesbeiana	Metazoa	114	24.0	
P31608	P31608	Sagittaria sagittifolia	Plants	181	24.0	
Q9NRM6	Q9NRM6	Homo sapiens	Metazoa	502	17.0	
P31420	P31420	Manduca sexta	Metazoa	274	18.0	
P19801	P19801	Homo sapiens	Metazoa	751	19.0	
P81511	P81511	Hirudo medicinalis	Metazoa	81	15.0	
P23502	P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1286	15.0	
P53616	P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24.0	
Q95NY5	Q95NY5	Anopheles stephensi	Metazoa	315	18.0	
Q01584	Q01584	Rhinella marina	Metazoa	183	20.0	
Q9Y5U5	Q9Y5U5	Homo sapiens	Metazoa	241	25.0	
Q13651	Q13651	Homo sapiens	Metazoa	578	21.0	
P29241	P29241	Aplysia californica	Metazoa	282	24.0	
P20462	P20462	Notamacropus eugenii	Metazoa	176	18.0	
B3STN7	B3STN7	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	316	18.0	
P23515	P23515	Homo sapiens	Metazoa	440	24.0	
O42720	O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32.0	
Q9UHF4	Q9UHF4	Homo sapiens	Metazoa	553	29.0	
Q9GU69	Q9GU69	Lymnaea stagnalis	Metazoa	64	21.0	
A0A0D1DWQ2	A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21.0	
Q6ASY2	Q6ASY2	Oryza sativa subsp. japonica	Plants	178	26.0	
P02750	P02750	Homo sapiens	Metazoa	347	35.0	
P19320	P19320	Homo sapiens	Metazoa	739	24.0	
M1MR49	M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24.0	
P02870	P02870	Lens culinaris	Plants	275	30.0	
Q5ZPR3	Q5ZPR3	Homo sapiens	Metazoa	534	28.0	
P31723	P31723	Penicillium citrinum	Fungi	511	35.0	
P45478	P45478	Bos taurus	Metazoa	306	27.0	
Q9N4D8	Q9N4D8	Caenorhabditis elegans	Metazoa	123	17.0	
Q78CF9	Q78CF9	Notechis ater	Metazoa	200	19.0	
Q5PP12	Q5PP12	Arabidopsis thaliana	Plants	69	25.0	
Q5AMT2	Q5AMT2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	308	18.0	
Q9TT95	Q9TT95	Sus scrofa	Metazoa	120	22.0	
Q60GF7	Q60GF7	Rattus norvegicus	Metazoa	252	22.0	
Q08380	Q08380	Homo sapiens	Metazoa	585	18.0	
B3STN5	B3STN5	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19.0	
P14625	P14625	Homo sapiens	Metazoa	803	21.0	
Q9SUQ8	Q9SUQ8	Arabidopsis thaliana	Plants	187	29.0	
P11919	P11919	Manduca sexta	Metazoa	88	26.0	
P10813	P10813	Aquarana catesbeiana	Metazoa	215	25.0	
O35806	O35806	Rattus norvegicus	Metazoa	1764	35.0	
Q9ES58	Q9ES58	Rattus norvegicus	Metazoa	327	23.0	
P81160	P81160	Drosophila melanogaster	Metazoa	54	21.0	
P54803	P54803	Homo sapiens	Metazoa	685	42.0	
G4ZHR2	G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19.0	
P0DPU3	P0DPU3	Scolopendra dehaani	Metazoa	577	25.0	
P20112	P20112	Sus scrofa	Metazoa	300	17.0	
P11215	P11215	Homo sapiens	Metazoa	1152	16.0	
P35613	P35613	Homo sapiens	Metazoa	385	21.0	
P01538	P01538	Viscum album	Plants	111	26.0	
O95633	O95633	Homo sapiens	Metazoa	263	26.0	
Q86YL7	Q86YL7	Homo sapiens	Metazoa	162	22.0	
P04937	P04937	Rattus norvegicus	Metazoa	2477	24.0	
Q02126	Q02126	Hordeum vulgare	Plants	330	25.0	
Q9Y251	Q9Y251	Homo sapiens	Metazoa	543	35.0	
P01579	P01579	Homo sapiens	Metazoa	166	23.0	
P15196	P15196	Oryctolagus cuniculus	Metazoa	398	31.0	
A0A8T9EMC0	A0A8T9EMC0	Heliotropium indicum	Plants	661	20.0	
P81295	P81295	Juniperus ashei	Plants	225	26.0	
Q6IWZ0	Q6IWZ0	Aplysia californica	Metazoa	535	18.0	
Q9UAD0	Q9UAD0	Olivierus martensii	Metazoa	59	24.0	
P0DUS7	P0DUS7	Doratifera vulnerans	Metazoa	56	19.0	
Q9ZT66	Q9ZT66	Zea mays	Plants	303	43.0	
Q9H7M9	Q9H7M9	Homo sapiens	Metazoa	311	32.0	
Q7M418	Q7M418	Oligobrachia mashikoi	Metazoa	163	16.0	
Q969Z4	Q969Z4	Homo sapiens	Metazoa	430	25.0	
P21128	P21128	Homo sapiens	Metazoa	410	18.0	
P86100	P86100	Olivierus martensii	Metazoa	410	25.0	
P18684	P18684	Protophormia terraenovae	Metazoa	101	18.0	
P28798	P28798	Mus musculus	Metazoa	589	17.0	
P24021	P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20.0	
P0DSJ6	P0DSJ6	Myrmecia gulosa	Metazoa	62	24.0	
P13612	P13612	Homo sapiens	Metazoa	1032	33.0	
P55203	P55203	Bos taurus	Metazoa	1110	56.0	
P48816	P48816	Bombyx mori	Metazoa	137	18.0	
Q8NBM8	Q8NBM8	Homo sapiens	Metazoa	494	22.0	
I3LGZ3	I3LGZ3	Sus scrofa	Metazoa	81	24.0	
P91745	P91745	Lucilia cuprina	Metazoa	375	20.0	
P42579	P42579	Lymnaea stagnalis	Metazoa	100	23.0	
P19400	P19400	Ascaris suum	Metazoa	169	20.0	
Q9H1M4	Q9H1M4	Homo sapiens	Metazoa	99	20.0	
Q9JI59	Q9JI59	Mus musculus	Metazoa	298	28.0	
P47710	P47710	Homo sapiens	Metazoa	185	15.0	
Q6GU94	Q6GU94	Centruroides limpidus	Metazoa	56	24.0	
P43497	P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20.0	
P01888	P01888	Bos taurus	Metazoa	118	20.0	
F1N5C8	F1N5C8	Bos taurus	Metazoa	445	22.0	
P18417	P18417	Catharanthus roseus	Plants	352	31.0	
P50895	P50895	Homo sapiens	Metazoa	628	31.0	
Q9UKZ9	Q9UKZ9	Homo sapiens	Metazoa	415	23.0	
Q71DJ5	Q71DJ5	Arabidopsis thaliana	Plants	393	20.0	
Q7M4T0	Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17.0	
Q8NBJ9	Q8NBJ9	Homo sapiens	Metazoa	832	18.0	
Q41015	Q41015	Pisum sativum	Plants	217	26.0	
Q63617	Q63617	Rattus norvegicus	Metazoa	999	32.0	
Q4V645	Q4V645	Drosophila melanogaster	Metazoa	108	29.0	
P69770	P69770	Conus marmoreus	Metazoa	94	25.0	
Q9Z0L3	Q9Z0L3	Mus musculus	Metazoa	485	17.0	
Q8C1Q4	Q8C1Q4	Mus musculus	Metazoa	291	21.0	
P07507	P07507	Bos taurus	Metazoa	103	19.0	
Q08334	Q08334	Homo sapiens	Metazoa	325	19.0	
P52823	P52823	Homo sapiens	Metazoa	247	17.0	
P07897	P07897	Rattus norvegicus	Metazoa	2124	19.0	
Q5KQS1	Q5KQS1	Gloydius blomhoffii	Metazoa	324	19.0	
P0DPU7	P0DPU7	Scolopendra dehaani	Metazoa	78	25.0	
O42807	O42807	Aspergillus niger	Fungi	281	21.0	
Q01965	Q01965	Mus musculus	Metazoa	654	47.0	
Q8MMJ7	Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23.0	
Q39962	Q39962	Hevea brasiliensis	Plants	238	31.0	
C0H9B6	C0H9B6	Salmo salar	Metazoa	413	19.0	
Q64HC7	Q64HC7	Armadillidium vulgare	Metazoa	73	19.0	
Q9VA83	Q9VA83	Drosophila melanogaster	Metazoa	227	19.0	
Q62632	Q62632	Rattus norvegicus	Metazoa	306	18.0	
Q9UVI4	Q9UVI4	Claviceps fusiformis	Fungi	394	16.0	
P01833	P01833	Homo sapiens	Metazoa	764	18.0	
W1I921	W1I921	Achatina achatina	Metazoa	184	26.0	
O46432	O46432	Felis catus	Metazoa	1007	50.0	
P11911	P11911	Mus musculus	Metazoa	220	28.0	
P22455	P22455	Homo sapiens	Metazoa	802	21.0	
P02663	P02663	Bos taurus	Metazoa	222	15.0	
P0DJI8	P0DJI8	Homo sapiens	Metazoa	122	18.0	
B0XRV0	B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18.0	
P81702	P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14.0	
Q9BWV1	Q9BWV1	Homo sapiens	Metazoa	1114	30.0	
Q9NR16	Q9NR16	Homo sapiens	Metazoa	1453	40.0	
P11438	P11438	Mus musculus	Metazoa	406	24.0	
P83234	P83234	Ophiophagus hannah	Metazoa	190	20.0	
Q99972	Q99972	Homo sapiens	Metazoa	504	32.0	
P43174	P43174	Ambrosia psilostachya	Plants	77	22.0	
C5P3X6	C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18.0	
O75711	O75711	Homo sapiens	Metazoa	98	20.0	
